,zip,stabbr,cty_name,est_per_capita,MEDFAMINC
6793,25813,WV,RALEIGH,-0.11887604084187417,-0.41527495293970396
6656,25106,WV,MASON,-0.1238379575694053,-0.7191644842151507
1967,7935,NJ,MORRIS,1.0889717449072651,0.537567921865811
24259,80210,CO,DENVER,0.43036653679059783,2.5070154628717165
24012,79121,TX,RANDALL,0.5508845876324107,0.5326503457974481
20306,67215,KS,SEDGWICK,-0.17750169730595086,0.5353452886145735
12727,45696,OH,LAWRENCE,-0.5522442415846222,-0.2720262398974473
9306,33460,FL,PALM BEACH,0.005552819298079064,-0.7954285876482373
20321,67332,KS,LABETTE,0.47780563146755567,-0.39618808989470194
1134,4917,ME,KENNEBEC,-0.20490113749191669,-0.09693830553121345
6728,25425,WV,JEFFERSON,-0.5190409240953863,0.6860398230484758
15197,52341,IA,LINN,-0.4036828831460287,-0.2850564273328271
26646,93286,CA,TULARE,-0.4382591202505206,-1.063394809000558
17817,60035,IL,LAKE,0.5640659464934493,3.2797416955800727
12545,45216,OH,HAMILTON,-0.16546688237264598,-1.1880011856480601
27697,97212,OR,MULTNOMAH,0.03786674219352549,1.9159061497051042
1513,6278,CT,NORTHEASTERN CONNECTICUT PLANN,-0.36529350734290816,1.4235928845559986
18482,61743,IL,LIVINGSTON,-0.020614792783651446,0.20114459637537535
17373,58494,ND,BURLEIGH,-0.33769231386216325,-0.1587830757468968
1626,6716,CT,NAUGATUCK VALLEY PLANNING REGI,-0.17225731654171847,1.1017555897768092
18159,60950,IL,KANKAKEE,-0.17475562426016736,0.8912444379689777
7442,28269,NC,MECKLENBURG,-0.14062876048473494,-0.014228565669538092
23560,78003,TX,BANDERA,0.06880239742145602,-0.43322271644344673
12908,46144,IN,SHELBY,-0.5323305509323776,0.5326503457974481
13928,48808,MI,CLINTON,-0.45747591014921807,0.16374879192330447
16441,55970,MN,MOWER,-0.4101706289574066,0.41385059851880385
23539,77905,TX,VICTORIA,-0.2602399967505781,-0.03928875557724087
9241,33194,FL,MIAMI-DADE,-0.368954256050601,1.115674830512684
17216,58042,ND,CASS,0.14361478155402044,2.1042743177474823
24678,82443,WY,HOT SPRINGS,0.4093400826491299,-0.2913631491832135
8492,30803,GA,JEFFERSON,-0.5724506993948641,-0.98349114361857
12199,44133,OH,CUYAHOGA,-0.021636569918469732,0.4529411608249433
1770,7107,NJ,ESSEX,-0.42436670779036173,-0.7419464750403351
15151,52236,IA,IOWA,-0.046074970705136,0.455830584051552
12760,45773,OH,WASHINGTON,0.10274947732614952,-0.7139412960747425
13124,46792,IN,HUNTINGTON,-0.06570483116390557,-0.12008147425972389
5871,22015,VA,FAIRFAX,-0.2893079906426743,2.40113477136589
27001,94946,CA,MARIN,0.5285648722959722,2.3195919139611147
23509,77708,TX,JEFFERSON,-0.29214673122639045,-0.8135708315614634
9886,35618,AL,LAWRENCE,-0.36924348720660677,-0.7472252290120242
18262,61252,IL,WHITESIDE,-0.17509882914639893,0.017860701895203272
22935,76067,TX,PALO PINTO,-0.10200027649808044,-0.4900665618438457
5035,18655,PA,LUZERNE,-0.37499278367019695,-0.30108716965737753
9009,32626,FL,LEVY,0.15942913970113293,-0.8788051174852839
14366,49780,MI,CHIPPEWA,0.10086553039958,-0.08324132812046237
665,3303,NH,MERRIMACK,-0.39885332046977473,0.2758528565325957
5599,21001,MD,HARFORD,-0.12325739983720232,0.08662341810536334
8488,30753,GA,CHATTOOGA,-0.5599395236969146,-0.9509851323192217
17371,58490,ND,LAMOURE,-0.14841490156601064,-0.02111872874837433
23540,77951,TX,VICTORIA,-0.5335588891083587,-1.5112554091249137
18575,61932,IL,EDGAR,-0.4956209166619994,0.004358204893935477
18930,62822,IL,FRANKLIN,-0.2149723321120823,-0.9943264807183528
13185,46985,IN,PULASKI,-0.21131738355559482,-0.9288699314694085
15695,54151,WI,MARINETTE,-0.13374209917997892,-0.4743136486757
10560,37853,TN,BLOUNT,-0.2758956040194557,-0.46136680998724156
24766,83254,ID,BEAR LAKE,0.21701296831493666,-0.29616959358901457
2231,8880,NJ,SOMERSET,-0.4147531811853085,0.4406888950274966
10628,38041,TN,LAUDERDALE,-0.6546021832570286,-1.0490866074457166
13652,48168,MI,WAYNE,-0.3025897301729363,2.5855577653873216
1803,7423,NJ,BERGEN,0.3257041840974091,4.438067014462494
21347,71055,LA,WEBSTER PARISH,0.038082267349791976,-1.3072176766613115
17665,59521,MT,HILL,-0.6319404360224861,-1.4015684581763432
13638,48146,MI,WAYNE,-0.36945736871162915,-0.6153675113823596
10795,38551,TN,CLAY,-0.21453702981189512,-1.2458729989271566
20336,67356,KS,LABETTE,-0.23849012558501395,-0.6228688986052862
25058,84097,UT,UTAH,0.44735758130132963,0.44535642485509536
1593,6488,CT,NAUGATUCK VALLEY PLANNING REGI,0.004299689699424881,1.7967730074387744
18153,60941,IL,KANKAKEE,0.2740116324964874,0.2734913087031559
259,1913,MA,ESSEX,0.04732732188008917,0.7987273288862169
18323,61359,IL,BUREAU,-0.49386067124455035,-0.7365288064904436
21207,70559,LA,ACADIA PARISH,-0.6005596907599228,-0.8038190281716588
22880,75968,TX,SABINE,-0.3266323934887816,-0.7676734549234091
9776,35172,AL,JEFFERSON,-0.5536923401307637,-0.8086532554931004
9851,35546,AL,FAYETTE,-0.48394913550936686,-0.4565325826658
13663,48184,MI,WAYNE,-0.16578526909508007,-0.9243135333043717
22749,75569,TX,BOWIE,0.036296193158492605,-1.283491066704351
14913,51201,IA,O'BRIEN,0.43185621994421053,0.05997960200615384
24047,79351,TX,LYNN,-0.44235515176543994,-0.05932023775401881
21097,70122,LA,ORLEANS PARISH,-0.40223703698447455,-0.6365380931003968
8259,30224,GA,SPALDING,-0.2537401047805466,-0.3382607107843247
397,2462,MA,MIDDLESEX,1.5661773089233413,4.258617162340706
2667,11792,NY,SUFFOLK,0.0663695744504155,2.034566982405546
21079,70080,LA,ST. CHARLES PARISH,0.4131592990688858,0.9031633087787387
13716,48307,MI,OAKLAND,0.2647930005537163,0.9833448033171315
21591,72001,AR,PERRY,-0.5229461568186647,-1.6172472322933018
18932,62824,IL,CLAY,-0.22773319964407227,-0.2773327767847768
20427,67570,KS,RENO,-0.2813270146996654,-0.159505431553549
16291,55436,MN,HENNEPIN,0.05977171631862427,3.139549103258268
1386,5827,VT,ORLEANS,-0.0922390295737667,-0.12105387630714029
15676,54119,WI,MARINETTE,-0.27423580512386775,-0.6400665233867363
15716,54202,WI,DOOR,0.7263881100613534,0.11085012054385204
22916,76040,TX,TARRANT,-0.13436887554215862,-0.2721651544756496
15341,53014,WI,CALUMET,0.06510596464896899,-0.1924559695031449
10783,38487,TN,MAURY,-0.503187347319355,0.21014626104288722
21170,70501,LA,LAFAYETTE PARISH,0.13103551709529787,-1.2471232301309776
16146,55106,MN,RAMSEY,-0.44292564442959675,-0.5651082169887517
3830,15052,PA,BEAVER,-0.44224104452545576,-0.3281199465755536
1424,6016,CT,CAPITOL PLANNING REGION,-0.45107166659837183,0.9712036691822467
25289,85140,AZ,PINAL,-0.46295319527127876,0.2091738589954708
3791,14898,NY,STEUBEN,-0.4811159594516604,-0.7133856377619332
23857,78701,TX,TRAVIS,8.741210312265826,3.554792560420713
12057,43787,OH,MORGAN,-0.6200581601675818,-1.035000669215999
11441,41056,KY,MASON,0.10517708182613977,-0.778036482457304
7193,27587,NC,WAKE,-0.03470974795864176,1.1733799462979375
10047,36206,AL,CALHOUN,-0.33344516157849796,-0.650012807186024
5016,18622,PA,LUZERNE,-0.35804177683119653,-0.017145771811787305
23879,78736,TX,TRAVIS,0.18328186280736825,1.2669250232593956
2389,10706,NY,WESTCHESTER,0.12299120726463356,3.4524680821168667
11334,40387,KY,MENIFEE,-0.6327849499250113,-1.1641912269441785
22681,75422,TX,HUNT,-0.22778121116015315,-0.397910630664411
25337,85283,AZ,MARICOPA,0.02929791285559916,0.20364505878301756
24196,80007,CO,JEFFERSON,-0.09172674039476557,2.763951866714771
5548,20777,MD,HOWARD,0.2636610703075453,3.5538757242045778
21437,71358,LA,ST. LANDRY PARISH,-0.3891296919797978,-1.2366212880188805
12848,46030,IN,HAMILTON,-0.046245276350617516,0.217008641206083
12745,45741,OH,MEIGS,-0.3290020118019549,-1.635806219941135
8821,32131,FL,PUTNAM,-0.08708193450029489,-0.36318198611382513
23191,76837,TX,CONCHO,-0.3203659135096923,-0.38304677079676025
7357,28033,NC,LINCOLN,-0.42929041456742023,-0.1347230708022509
3492,14066,NY,WYOMING,-0.2665101530483391,-0.30242074960812004
137,1469,MA,MIDDLESEX,-0.2446483121621035,1.0426335452938917
1797,7417,NJ,BERGEN,0.44218178643094624,3.9441701231218818
7552,28462,NC,BRUNSWICK,0.004547671730023368,-0.5207111177952827
835,4046,ME,YORK,0.47939410739592214,0.398153251181939
14157,49310,MI,ISABELLA,-0.4981118455665254,-0.6629040800432016
1873,7670,NJ,BERGEN,0.1429549784476323,4.156125986543017
10902,38828,MS,UNION,-0.48986856644158333,-0.5686644301907317
4679,17366,PA,YORK,-0.5874493974924461,-0.020035195038396052
9299,33442,FL,BROWARD,0.4787522989400173,-0.36865522049499744
23856,78681,TX,WILLIAMSON,-0.05798570409483704,1.4715461969514476
28152,98377,WA,LEWIS,-0.3510411191902196,-0.41546943334918723
9908,35672,AL,LAWRENCE,-0.5055767054862703,-0.599031156985764
16707,56367,MN,BENTON,-0.1499566286801915,0.387484611575999
20127,66739,KS,CHEROKEE,-0.31932359084629097,-0.8571344432857183
11783,43031,OH,LICKING,-0.19218705372933326,0.6526169755329919
16077,55007,MN,PINE,-0.45291325719911024,-0.481842818814267
25091,84314,UT,BOX ELDER,-0.1471213781977708,-0.22718461405373078
9570,34243,FL,MANATEE,0.6983879894300714,0.3161936500425563
19046,62992,IL,PULASKI,0.005550410546441401,-0.4441414022901509
22106,73546,OK,TILLMAN,-0.27216704310187395,-0.8880012625622791
24494,81041,CO,PROWERS,-0.5142675445828718,-0.9503739081751313
9020,32667,FL,ALACHUA,-0.15976770310759308,0.08367842904747365
11847,43154,OH,FAIRFIELD,-0.49672708776492075,0.8725743186585827
18850,62560,IL,MONTGOMERY,0.20103852088575627,0.14905162954949652
17130,57555,SD,TODD,-0.40957638666307217,-1.4741096509136071
490,2767,MA,BRISTOL,0.30505933746004577,1.1948561400880198
2449,10998,NY,ORANGE,-0.4040691496164063,0.9096089452073275
2219,8854,NJ,MIDDLESEX,-0.12101764583157551,1.2841782138721267
23333,77327,TX,LIBERTY,-0.39101232244827766,-0.842770675899596
12640,45380,OH,DARKE,0.0327983574496995,0.18778101395230992
19693,65109,MO,COLE,0.10977050891354079,0.01183180920122156
24561,81301,CO,LA PLATA,0.9922910603612412,0.45388577995671925
26892,94520,CA,CONTRA COSTA,0.9648083545098797,-0.11738653144259842
26128,91103,CA,LOS ANGELES,0.03574436366597886,-0.15811628577152556
27152,95356,CA,STANISLAUS,0.1787457165706489,0.44694005104660206
28062,98239,WA,ISLAND,0.0951234901698259,0.16272082404460714
13215,47041,IN,RIPLEY,-0.37129360918021065,0.24318014773940452
26262,91945,CA,SAN DIEGO,-0.1798649301514833,-0.028870162212065103
27949,97885,OR,WALLOWA,0.1789419344543788,-0.34242814813039496
18008,60480,IL,COOK,0.10778814670051294,0.32930718622485755
4477,16872,PA,CENTRE,-0.03925580733666302,-0.33020366524858874
4408,16667,PA,BEDFORD,-0.4125351263828905,-0.777564172891416
7561,28472,NC,COLUMBUS,0.1745749275217037,-1.0117185859092863
12561,45237,OH,HAMILTON,-0.1939936778435847,-0.8318242071372514
20480,67740,KS,SHERIDAN,1.0617538208269544,0.4442451082294766
4869,18062,PA,LEHIGH,-0.41810460047467535,0.8635170881597899
26136,91203,CA,LOS ANGELES,1.9149948228943148,-0.44230772985788
2188,8805,NJ,SOMERSET,-0.04424424209319475,0.0018299595706528242
14330,49726,MI,CHIPPEWA,0.6345363143259212,-0.2734709515107516
23955,79018,TX,HARTLEY,-0.3117684240697798,-0.6392886017488032
17546,59064,MT,YELLOWSTONE,-0.2688822172215149,2.02767681932671
14642,50315,IA,POLK,-0.4219960724087355,-0.5371030380231593
9814,35401,AL,TUSCALOOSA,0.10493882971151865,-1.1687754080248558
7549,28458,NC,DUPLIN,-0.35459488002031275,-1.1887235414547124
16949,57058,SD,MCCOOK,0.5171022127779755,0.08537318690154225
24275,80229,CO,ADAMS,-0.20094230238910152,-0.27335981984818974
27596,97005,OR,WASHINGTON,1.0465878038793313,-0.26716422966036524
25702,87710,NM,COLFAX,1.8193682303478158,-0.4390015628966642
23714,78369,TX,WEBB,0.7941109007038979,0.5137023973306484
15264,52631,IA,LEE,9.583249119648157,0.4905592286021379
11540,41659,KY,FLOYD,0.062470207844132125,-1.0613388732431634
25802,88418,NM,UNION,-0.2621852936093486,-0.5837227704678657
23005,76251,TX,MONTAGUE,0.20103852088575627,-0.5223780927337108
837,4048,ME,YORK,-0.14388437983050925,0.13168730727420358
15807,54481,WI,PORTAGE,0.13012706875337018,-0.23193549262825092
19240,63548,MO,SCHUYLER,0.6829378468906692,-0.7141913423155068
19771,65483,MO,TEXAS,0.24953990470774956,-0.8967528809890267
1426,6019,CT,CAPITOL PLANNING REGION,0.19234837151882953,1.944050243248899
6450,24313,VA,WYTHE,-0.24414303648409763,-1.2979659657530354
21077,70075,LA,ST. BERNARD PARISH,-0.39141510840571203,-0.30950539309643954
26030,90247,CA,LOS ANGELES,-0.20100158279393632,-0.2155991382316553
27493,96114,CA,LASSEN,-0.5064473211134514,-0.4555323977027431
1805,7430,NJ,BERGEN,0.15140432423155892,1.9375768239046698
10584,37887,TN,MORGAN,-0.3817165154533163,-0.6948544330297406
28529,99615,AK,KODIAK ISLAND BOROUGH,0.31055339209959665,0.41093339237655463
2997,12763,NY,SULLIVAN,0.8950593908857082,-0.37468411318897915
28541,99634,AK,BETHEL CENSUS AREA,-0.5247657557204722,-1.604744920255091
20695,68422,NE,GAGE,0.04960406921445463,-0.07668456002931176
25743,88030,NM,LUNA,-0.30242980453951884,-1.054143098092282
3855,15090,PA,ALLEGHENY,0.5391813214283313,2.0921609665282377
3988,15458,PA,FAYETTE,-0.43053110492698926,-0.4548933906430123
24132,79734,TX,JEFF DAVIS,0.31854703436953513,-0.5194608865914616
14477,50009,IA,POLK,-0.06323274327331231,0.2882440369082448
25229,84781,UT,WASHINGTON,-0.1752116985687642,1.0718333896320242
156,1524,MA,WORCESTER,-0.13679575394346039,0.35495081736101014
6103,23070,VA,MIDDLESEX,-0.5264375005633407,1.2975695792108326
4349,16424,PA,CRAWFORD,-0.2586706629210698,-0.5572734347781395
18800,62461,IL,EFFINGHAM,-0.05971927392181271,-0.02459159320343292
