,zip,stabbr,cty_name,est_per_capita,MEDFAMINC
11706,42453,KY,HOPKINS,-0.36727561916768214,-1.0831484620209313
4456,16838,PA,CLEARFIELD,-0.3037154160612348,-0.7481142823125191
11296,40243,KY,JEFFERSON,0.8943550139132703,0.5293163959205918
13530,47980,IN,WHITE,-0.009159949992965597,-0.1642007442967882
12783,45819,OH,AUGLAIZE,-0.2970196792199196,-0.2155991382316553
8442,30635,GA,ELBERT,0.04855065656431612,-0.8219612720848849
23691,78258,TX,BEXAR,0.41711459064684725,1.5479492149627367
11411,41003,KY,HARRISON,-0.6496918159119173,-0.39538238534112835
27600,97009,OR,CLACKAMAS,0.2573032933913417,0.599690521237899
21227,70615,LA,CALCASIEU PARISH,-0.26187303812934465,-0.9766565463710147
14889,51041,IA,SIOUX,0.2945866157639491,0.10490457659679174
255,1905,MA,ESSEX,-0.23886854707638985,-0.22393401292379592
5479,20634,MD,ST. MARY'S,-0.5860240859742213,1.9770841299454163
24368,80602,CO,ADAMS,-0.32478630346506643,1.7292049566011545
9227,33177,FL,MIAMI-DADE,-0.295059512310718,-0.40141127803511006
6190,23356,VA,ACCOMACK,-0.6076965425026211,-0.4326392752149969
2235,8887,NJ,HUNTERDON,-0.13731956965542372,0.40084819399906446
21304,70808,LA,EAST BATON ROUGE PARISH,0.2394825851620144,0.8844098407214224
13163,46933,IN,GRANT,-0.1416932969666604,-0.49998506272749305
22548,75063,TX,DALLAS,0.5645287723710338,1.1203423603402827
27662,97114,OR,YAMHILL,-0.021803571551080793,0.12221333304080376
13711,48240,MI,WAYNE,-0.31428529816319706,-0.5078198449381053
27541,96743,HI,HAWAII,0.2577024137253472,0.9983475777629846
1680,6901,CT,WESTERN CONNECTICUT PLANNING R,2.4188042333112345,0.37989987560615107
16998,57243,SD,CODINGTON,0.04642972825595133,-0.08535282970913799
15233,52554,IA,WAPELLO,-0.1889191933749914,-0.33873302035021263
19324,63855,MO,DUNKLIN,-0.2614921949660801,-0.5513001079154387
10925,38866,MS,LEE,-0.23736531588029638,-0.21109830589789938
23273,77046,TX,HARRIS,10.311015054042963,1.3850857634783091
16643,56282,MN,KANDIYOHI,-0.005632214900349129,-0.13036115304669732
20474,67733,KS,SHERMAN,0.5709507414267233,1.0693607101400227
19485,64446,MO,ATCHISON,0.21766671845074956,-0.7018001619398577
14523,50105,IA,STORY,-0.07028609012416386,0.9413092519531023
564,2916,RI,PROVIDENCE,0.034156682408787706,0.7104054400651668
21606,72021,AR,MONROE,0.233776072234841,-0.8312407659088015
23280,77054,TX,HARRIS,0.11029083758773583,-0.7521428050803871
8051,29690,SC,GREENVILLE,-0.16469169639329395,-0.32184100764080764
16636,56273,MN,KANDIYOHI,0.21131022477282665,0.3503944191959733
26484,92603,CA,ORANGE,0.029162387565459545,3.295689089157702
22802,75751,TX,HENDERSON,0.11636413308397213,-0.6314816024538314
389,2446,MA,NORFOLK,-0.08188317948438839,2.643735190738463
7385,28104,NC,UNION,0.013992831969514567,1.453070558050536
4827,17960,PA,SCHUYLKILL,-0.3691605440082717,-0.49776242947625554
11029,39202,MS,HINDS,0.9842720222388155,-0.4879550602551701
6232,23513,VA,NORFOLK CITY,-0.3344723391727886,-0.5106814852490735
4115,15746,PA,INDIANA,0.5305231763402772,0.22009254484217503
1536,6371,CT,LOWER CONNECTICUT RIVER VALLEY,0.008740015596413162,1.4979677497255335
13197,47006,IN,RIPLEY,0.254285618357148,0.148190359164642
17287,58274,ND,TRAILL,0.13585398904988563,0.4442451082294766
8289,30290,GA,FAYETTE,0.5293681030520926,0.8673789134338151
22361,74455,OK,MUSKOGEE,-0.5727030440669355,-1.009273689332925
17633,59442,MT,CHOUTEAU,0.8403744016214529,0.017166129004191552
7096,27302,NC,ALAMANCE,-0.14733732897931345,-0.0627931022090774
26768,93669,CA,MADERA,-0.3969151130872695,-0.4168307962155702
14187,49348,MI,ALLEGAN,-0.015706806678306085,-0.2024578191337136
26284,92029,CA,SAN DIEGO,0.9962132867815536,1.358525296126021
9170,33063,FL,BROWARD,-0.020500070962481777,-0.44208546653275627
16391,55901,MN,OLMSTED,-0.04156418577719246,0.43935531507675407
3574,14425,NY,ONTARIO,-0.28184456593180984,0.1372716733179378
15717,54204,WI,DOOR,-0.314344129961881,0.23153910608604814
19944,66026,KS,MIAMI,-0.534660093348318,-0.33137054770548846
20509,67850,KS,LANE,0.17497381183357247,-0.5388533617085087
22752,75572,TX,CASS,-0.13719904761689647,-0.5117094531277708
7153,27521,NC,HARNETT,-0.3341773262941709,-0.8033189356901305
3646,14580,NY,MONROE,-0.07845535925842775,0.8335393221837242
20877,68832,NE,HALL,0.17437595681022977,0.1307704710580681
4222,16056,PA,BUTLER,0.30116762397193547,0.3520058283031205
24848,83522,ID,IDAHO,0.13895066095617373,-0.38229663207446757
10824,38588,TN,JACKSON,-0.700993240768432,-0.3140062254301955
21076,70072,LA,JEFFERSON PARISH,-0.3523899450642081,-0.49537309873117524
23449,77539,TX,GALVESTON,-0.3983947820012803,0.13521573756054311
24634,82053,WY,LARAMIE,-0.009416320530624798,0.3780939860895206
26259,91935,CA,SAN DIEGO,-0.2477959410939267,1.47168511152965
11885,43311,OH,LOGAN,-0.054032002859623736,-0.3980217623269729
6347,24019,VA,ROANOKE,-0.04135953272273319,-0.12891644143339293
13420,47610,IN,WARRICK,-0.2475846221374696,-0.38054630838911807
28404,99140,WA,FERRY,-0.3976026136724626,-0.5588014951383653
20677,68378,NE,NEMAHA,0.18662022964220085,-0.21062599633201143
14345,49748,MI,CHIPPEWA,-0.020614792783651446,-0.6178679737900018
2733,12041,NY,ALBANY,0.005826609033389605,0.6575901174326358
21210,70570,LA,ST. LANDRY PARISH,-0.16627464974121817,-1.034695057143954
2978,12726,NY,SULLIVAN,-0.15806818907536513,-0.08132430694127003
23337,77336,TX,HARRIS,-0.2956522892506318,0.02347285085457795
17348,58448,ND,GRIGGS,0.14563844607481832,-0.6720446592889158
4112,15738,PA,CAMBRIA,-0.2543166771019573,-1.068367950900202
8167,30054,GA,NEWTON,-0.4461346253110888,-0.1328616154543395
17016,57269,SD,GRANT,0.09611882613207975,0.2937450542050576
27946,97880,OR,UMATILLA,-0.1511692142552866,-0.26635852510679164
4593,17111,PA,DAUPHIN,0.048065124508718915,0.2682125547314668
10413,37341,TN,HAMILTON,-0.5710124893773404,0.13968878697865858
12465,45005,OH,WARREN,-0.25623705768056054,-0.006671612615330602
16003,54862,WI,SAWYER,0.11955306846151852,-0.11141320457989765
17389,58538,ND,SIOUX,-0.5231322389918652,-1.411570307806912
28112,98321,WA,PIERCE,-0.1841643710603698,1.221305475777746
16262,55407,MN,HENNEPIN,-0.07267856118562235,-0.027119838526715574
10909,38847,MS,TISHOMINGO,-0.32051499801861466,-0.8541061054809073
15108,52158,IA,CLAYTON,0.38015434029391837,-0.7538931287657366
28228,98585,WA,LEWIS,-0.2420615330013618,0.7677215950314538
28554,99657,AK,KUSILVAK CENSUS AREA,0.8773491294503029,-0.7495589939258235
22492,74944,OK,HASKELL,-0.5350442200232852,-0.8580790624174943
6572,24635,VA,TAZEWELL,-0.49798578735305604,0.04486569589773886
6446,24293,VA,WISE,-0.20665184722870789,-0.9107276875561825
3276,13410,NY,MONTGOMERY,0.03875503387084115,-0.46367279198540046
18331,61369,IL,MARSHALL,-0.10621242486832069,-0.6041154305479698
8194,30102,GA,CHEROKEE,-0.3879782009897044,0.09918129597485519
7300,27924,NC,BERTIE,-0.43172022392924103,-0.1388071594013998
26539,92807,CA,ORANGE,0.611204359518278,1.6818350854341553
158,1529,MA,WORCESTER,-0.43884225834708507,0.9778993518515996
1533,6360,CT,SOUTHEASTERN CONNECTICUT PLANN,-0.17042513013999003,-0.27402660982356103
10008,36043,AL,MONTGOMERY,-0.2713384272500971,0.37645479406673293
10404,37331,TN,MCMINN,-0.32741178508073177,-0.6178679737900018
3665,14616,NY,MONROE,-0.42293891505501907,-0.4096350210646888
16801,56560,MN,CLAY,-0.20182520694632863,0.26926830552580466
2216,8850,NJ,MIDDLESEX,-0.027681029476137643,1.367415829130971
19384,64056,MO,JACKSON,-0.44660691690511706,-0.490261042253329
12388,44691,OH,WAYNE,0.024982230952768355,-0.15169843225857726
11321,40356,KY,JESSAMINE,0.04013778833089429,-0.164839751356519
21861,72722,AR,BENTON,-0.2949641281038671,-0.8407147401422014
15742,54301,WI,BROWN,0.102175246622949,-0.11413593031266357
26230,91765,CA,LOS ANGELES,0.4456046756430385,0.7231300154285015
10216,36784,AL,CLARKE,0.3148918573255367,-0.6895478961424111
24348,80520,CO,WELD,0.032500286989663375,-0.15080937895808227
6046,22911,VA,ALBEMARLE,0.3742845173054883,1.228473468012987
12706,45659,OH,LAWRENCE,-0.6974992287018483,-0.7511426201173302
9743,35087,AL,CULLMAN,-0.603454118860716,-0.2430486588844384
22029,73112,OK,OKLAHOMA,0.556004400283756,-0.7044951047569832
13493,47921,IN,BENTON,-0.2688822172215149,-0.5249896868039149
1269,5361,VT,WINDHAM,-0.2699426123713226,-0.2811946020588019
22688,75433,TX,HOPKINS,-0.5802059667772969,0.0355028533269009
23193,76844,TX,MILLS,0.20731536796577762,-0.3141451400083978
11937,43449,OH,OTTAWA,-0.2526643563208523,-0.12163731753559014
19688,65081,MO,MONITEAU,-0.11736974504623485,-0.5368252088667546
4485,16911,PA,TIOGA,-0.18835243556049952,0.28796620775184006
17454,58733,ND,WARD,-0.046074970705136,1.2642300804422701
26227,91762,CA,SAN BERNARDINO,-0.21747342200861447,-0.2197110097464447
23429,77506,TX,HARRIS,-0.4901503033345582,-0.9531799826548186
16361,55765,MN,ST. LOUIS,-0.0988597573442821,-0.3081995960613375
9231,33181,FL,MIAMI-DADE,0.7486327369932717,-0.6267862897105922
13051,46554,IN,ST. JOSEPH,-0.33743493000791247,0.007247628120544223
20597,68122,NE,DOUGLAS,-0.2518877296225599,0.39526382795533027
21569,71933,AR,HOT SPRING,-0.2278437401248822,-0.7632559713365745
18713,62289,IL,ST. CLAIR,-0.3093722174128148,-0.6948544330297406
18049,60546,IL,COOK,0.14210337850755134,1.3361600490354437
22759,75605,TX,GREGG,0.14887224087358933,0.3940691625827901
9317,33477,FL,PALM BEACH,1.2135090709513192,1.7610441779251316
14899,51054,IA,WOODBURY,-0.09827176434989078,0.6972641209672251
22212,73939,OK,TEXAS,-0.40874012315261743,-0.6039209501384865
21317,71003,LA,CLAIBORNE PARISH,-0.5488745184519146,-0.3453453542726442
11521,41564,KY,PIKE,-0.48278757783446774,-1.0164138986525255
19881,65737,MO,STONE,0.27190510393687584,-0.4634227457446362
5342,19801,DE,NEW CASTLE,3.980582991968166,-0.944067186324745
27845,97498,OR,LINCOLN,0.1565484206384701,-0.35543055265013435
2219,8854,NJ,MIDDLESEX,-0.12101764583157551,1.2841782138721267
14923,51241,IA,LYON,0.004408205717319936,0.6056638481005998
6214,23453,VA,VIRGINIA BEACH CITY,-0.34606344523346566,-0.03948323598672415
26293,92060,CA,SAN DIEGO,-0.16230621773800857,1.4906052770808091
6326,23947,VA,CHARLOTTE,0.033429841835606454,-0.2665807884319154
22946,76092,TX,TARRANT,1.5211306371839406,4.438067014462494
