,zip,stabbr,cty_name,est_per_capita,MEDFAMINC
15761,54418,WI,LANGLADE,-0.2753021524284999,0.015915897800370463
7092,27295,NC,DAVIDSON,-0.36453656643706805,-0.4957064937188609
27608,97019,OR,MULTNOMAH,-0.2020739905362602,0.8291496215125301
27821,97463,OR,LANE,-0.41971156918588204,-0.8835559960598041
27114,95258,CA,SAN JOAQUIN,-0.40475527420090274,1.0020427055431669
6788,25703,WV,CABELL,-0.019290112485313995,-1.6840373614929887
19454,64155,MO,CLAY,-0.36137344874537614,0.44785688726273754
24683,82515,WY,FREMONT,-0.11442551093240574,-0.3058936140631786
8369,30507,GA,HALL,-0.4555349965086979,-0.2535506009965356
11129,39573,MS,STONE,-0.591358460413965,-0.32620292539636125
20620,68305,NE,NEMAHA,0.1405302508265392,0.06837004252957539
7066,27217,NC,ALAMANCE,-0.37974854837033,-0.7786199236857537
3333,13615,NY,JEFFERSON,0.022239680553777175,0.4365214576814263
3875,15140,PA,ALLEGHENY,-0.47972549485880517,-1.154856167288981
6618,24938,WV,GREENBRIER,-0.3664404954959933,-0.02781441141772729
24916,83686,ID,CANYON,-0.21233539779662003,-0.1361399994999148
7775,29037,SC,NEWBERRY,-0.5570161858883858,-0.5976142282881001
28107,98310,WA,KITSAP,-0.24060336745998295,-0.4209148848147191
10699,38261,TN,OBION,0.08254514188584576,-0.47503600448235217
22186,73763,OK,BLAINE,0.1637264389820754,-0.7558101499449289
3172,13103,NY,OSWEGO,-0.3675411942791299,-1.0867046752229113
28177,98443,WA,PIERCE,-0.3530922244548655,1.2082752883423662
569,3031,NH,HILLSBOROUGH,0.27818043361533024,2.3543205585117004
15536,53561,WI,SAUK,-0.3525166088757587,0.6491441110779334
6720,25404,WV,BERKELEY,-0.32708446541272496,-0.48223177963323355
27137,95329,CA,STANISLAUS,-0.3514056758537825,0.05200590521733932
7743,28787,NC,BUNCOMBE,-0.0896030624676148,-0.28066672666163306
20381,67480,KS,DICKINSON,-0.38165941497055245,-0.06418224799110084
18341,61410,IL,KNOX,-0.3718937781163985,-0.7018001619398577
21661,72120,AR,PULASKI,-0.2495567216201919,7.963588530329539e-05
2892,12466,NY,ULSTER,0.06828963071712055,0.07292644069461225
21898,72843,AR,POPE,-0.3963787115317875,-0.8059860955916155
4664,17342,PA,YORK,-0.44360537022091934,0.06570288262809039
14485,50026,IA,GUTHRIE,-0.28190474121882025,-0.38924236098458476
20648,68341,NE,SALINE,-0.0736624626404624,-0.08827003585138721
17525,59030,MT,PARK,1.8848187256567999,0.0776773192691324
14004,49002,MI,KALAMAZOO,0.43980149398734375,0.21400808631691237
18139,60919,IL,FORD,-0.17560641407289837,-0.14036300267726604
4269,16213,PA,CLARION,0.06172621690162852,-0.30242074960812004
20732,68506,NE,LANCASTER,0.13957644557887056,0.10740503900443393
27781,97405,OR,LANE,-0.17980044064860595,0.520675909156406
3275,13409,NY,MADISON,-0.24316548828977547,-0.4615890733123653
19868,65713,MO,WEBSTER,-0.5007715844677316,-0.8417704909365391
25712,87745,NM,SAN MIGUEL,-0.5502606044383832,-0.7365288064904436
24855,83535,ID,LATAH,-0.28831442893131726,-0.24338205387212403
11857,43203,OH,FRANKLIN,-0.3325596599975694,-1.3289716996077985
17035,57323,SD,MINER,0.2569887453969017,0.4972549112714909
17023,57278,SD,CLARK,0.05866860803503523,-0.38924236098458476
23568,78013,TX,KENDALL,0.2528611219467971,0.28704937153570464
26046,90280,CA,LOS ANGELES,-0.4065271554758882,-0.5915853355941184
17898,60154,IL,COOK,0.12584165151461904,0.7234634104161871
20527,67879,KS,GREELEY,0.2289259368646636,-0.2920021562429443
23020,76302,TX,WICHITA,0.14997415177556023,-0.678934822367752
22888,75979,TX,TYLER,-0.2939207780559948,-0.8797219537014194
6139,23150,VA,HENRICO,-0.03209805439184775,0.07167620949079116
10897,38804,MS,LEE,0.767413713214857,-0.1312502063471923
22953,76107,TX,TARRANT,1.1533958524791537,0.7500516606841157
7019,27009,NC,FORSYTH,-0.44261911068203214,-0.010116694154748722
9740,35080,AL,SHELBY,-0.33303284410052225,0.7201572434549713
10980,39069,MS,JEFFERSON,-0.5408595433038466,-1.6424741196948474
16833,56633,MN,CASS,-0.28043156264687524,-0.8031800211119281
1860,7646,NJ,BERGEN,-0.3510160628862233,1.2801219081886182
8301,30308,GA,FULTON,0.9133833029932558,2.0031722877318163
25992,90040,CA,LOS ANGELES,2.664450487906372,-0.507153054962734
12929,46173,IN,RUSH,0.0722907126533102,-0.5320187644609534
23586,78045,TX,WEBB,0.22712041055164464,-0.0011150294872368592
5833,21822,MD,WORCESTER,-0.2574922468316729,-0.3114224142756319
2398,10901,NY,ROCKLAND,0.304233456114394,1.3800292728317438
22727,75491,TX,GRAYSON,-0.3465502292277097,-0.14655859286509057
3648,14586,NY,MONROE,-0.38457382899756815,1.0693607101400227
27158,95365,CA,MERCED,-0.5918635015913575,-0.9832966632090867
8473,30730,GA,CHATTOOGA,-0.5062552061566227,-1.120710963966845
5030,18641,PA,LUZERNE,-0.3379736420052637,-0.3559306451316628
25846,89085,NV,CLARK,-0.6388156545614108,0.76572122510534
17899,60155,IL,COOK,0.20538200975238713,-0.4086626190172724
7254,27847,NC,BERTIE,-0.565446835487398,-0.9729614185908324
6766,25564,WV,LINCOLN,-0.7104086848603243,0.6926521569709073
5936,22437,VA,ESSEX,-0.6254153075846808,0.23420626598753314
25386,85362,AZ,YAVAPAI,0.25054657792296364,-0.7191644842151507
26719,93560,CA,KERN,-0.570605260930837,-0.2355194887458714
12877,46070,IN,MADISON,-0.5571289539567088,-0.5590237584634891
28484,99515,AK,ANCHORAGE MUNICIPALITY,0.4219999581860394,0.8711018241296379
11327,40371,KY,BATH,-0.451496865610509,-0.719831274190522
15082,52069,IA,JACKSON,0.07973999237638688,-0.2850564273328271
12497,45106,OH,CLERMONT,-0.3815637486689665,-0.2652194255655324
11622,42160,KY,BARREN,-0.4555257925382205,-0.5246840747318697
935,4359,ME,KENNEBEC,-0.20525850823301212,0.7760842526392349
11935,43446,OH,OTTAWA,4.573690812765274,-0.02459159320343292
18324,61360,IL,LASALLE,-0.2538433724836889,0.14905162954949652
10551,37830,TN,ANDERSON,0.0652044663114787,-0.24893863700021776
1691,7006,NJ,ESSEX,0.2075786337109523,2.328926973616312
24961,83851,ID,BENEWAH,-0.3346884379830497,-0.7770362974942471
10996,39111,MS,SIMPSON,0.10218200428127502,-1.0613944390744443
4805,17888,PA,COLUMBIA,-0.6028014751064095,0.04486569589773886
10962,39038,MS,HUMPHREYS,-0.17491346266721494,-1.5542911454519996
18774,62425,IL,RICHLAND,-0.5998085242225687,0.6048581435470262
23837,78653,TX,TRAVIS,-0.3651492576820661,0.2812149592512062
23083,76486,TX,JACK,-0.3286695872670194,0.076704917221716
20958,68976,NE,GOSPER,-0.36379231703628456,-0.07668456002931176
8850,32202,FL,DUVAL,3.5319103803211336,-0.802818843208602
