ZCTA20,TOTPOP,MEDFAMINC
01520,16893,162265.0
01521,2585,103409.0
01522,2890,136000.0
01523,8395,138550.0
01524,6077,103036.0
01525,31,
01527,13852,123657.0
01529,3176,125458.0
01531,984,116500.0
01532,15647,190699.0
01534,5893,136944.0
01535,4750,91250.0
01536,7282,136414.0
01537,1935,142560.0
01540,11420,132740.0
01541,3497,170917.0
01542,2815,138571.0
01543,9102,166516.0
01545,38734,155456.0
01550,17669,72456.0
01560,4734,135372.0
01561,0,
01562,11955,98507.0
01564,8053,137557.0
01566,6795,141604.0
01568,7828,159375.0
01569,14039,130855.0
01570,17671,91507.0
01571,11885,110417.0
01581,21360,181148.0
01583,7476,119044.0
01585,4841,98194.0
01588,10468,124679.0
01590,9268,178373.0
01602,25869,103165.0
01603,20678,69380.0
01604,40724,75639.0
01605,30590,59413.0
01606,22636,112023.0
01607,8630,66875.0
01608,5080,28485.0
01609,23256,104778.0
01610,27033,50709.0
01611,2188,127986.0
01612,5013,144042.0
01701,32973,161223.0
01702,38898,86324.0
01718,737,
01719,5462,224567.0
01720,23081,202945.0
01721,18634,159867.0
01730,14408,198875.0
01731,1784,78281.0
01740,5653,208920.0
01741,5209,250001.0
01742,18311,237404.0
01745,554,195417.0
01746,14902,174092.0
01747,6021,143030.0
01748,18748,239953.0
01749,19947,140846.0
01752,41391,118158.0
01754,10671,150714.0
01756,6238,146585.0
01757,30411,109345.0
01760,36274,177151.0
01770,4404,250001.0
01772,9867,230741.0
01773,5216,250001.0
01775,7111,178278.0
01776,18926,250001.0
01778,14070,245833.0
01801,40992,127328.0
01803,26004,157369.0
01810,35612,206075.0
01821,30854,149241.0
01824,26612,166250.0
01826,32309,120563.0
01827,3359,206707.0
01830,26885,96843.0
01832,25707,92188.0
01833,8389,165640.0
01834,6742,145649.0
01835,14681,109139.0
01840,6977,42784.0
01841,52738,56259.0
01843,28352,71307.0
01844,52780,114359.0
01845,31624,171997.0
01850,16806,66223.0
01851,32323,93115.0
01852,36546,90354.0
01854,29062,79969.0
01860,6717,122143.0
01862,11126,134286.0
01863,9570,140417.0
01864,15529,167776.0
01867,25443,187682.0
01876,30817,140040.0
01879,12385,156429.0
01880,27026,158162.0
01886,24524,190840.0
01887,23191,175094.0
01890,22809,250001.0
01901,1658,
01902,51931,75041.0
01904,20078,111592.0
01905,26986,82200.0
01906,28566,110597.0
01907,15208,156786.0
01908,3336,140625.0
01913,17279,119009.0
01915,41611,135398.0
01921,8234,215325.0
01922,3827,209732.0
01923,27734,132926.0
01929,3648,156875.0
01930,29830,113213.0
01937,176,
01938,13791,156303.0
01940,13072,180141.0
01944,5386,250001.0
01945,20373,200000.0
01949,9668,176389.0
01950,18356,169347.0
01951,2896,204792.0
01952,9182,119965.0
01960,54057,114794.0
01965,803,241003.0
01966,6973,132556.0
01969,6175,148281.0
01970,44435,106047.0
01982,7612,154627.0
01983,6532,186991.0
01984,4933,197865.0
01985,4521,191714.0
02019,17025,119574.0
02021,24293,164123.0
02025,8330,250001.0
02026,25150,170962.0
02030,5886,250001.0
02032,4847,176923.0
02035,18476,143504.0
02038,32777,170487.0
02043,24143,250001.0
02045,10116,155979.0
02047,218,
02048,23831,152962.0
02050,25915,148010.0
02052,12844,250001.0
02053,13164,180197.0
02054,8565,149911.0
02056,11527,198319.0
02061,11281,197778.0
02062,31343,124455.0
02066,18718,181024.0
02067,18473,198799.0
02071,1480,200267.0
02072,29051,114076.0
02081,19990,185587.0
02090,16149,218092.0
02093,12173,176125.0
02108,4218,244079.0
02109,3559,202708.0
02110,2337,173167.0
02111,8417,84297.0
02113,6688,162656.0
02114,13356,226979.0
02115,27838,68542.0
02116,22286,238702.0
02118,28392,86139.0
02119,26821,59704.0
02120,14364,56011.0
02121,29820,51667.0
02122,24705,85122.0
02124,55336,81674.0
02125,31903,74359.0
02126,24994,83260.0
02127,36175,156250.0
02128,45357,86889.0
02129,19832,204433.0
02130,41479,149403.0
02131,31637,120828.0
02132,26488,167526.0
02133,0,
02134,17969,99920.0
02135,44480,100505.0
02136,39498,106376.0
02138,38006,190378.0
02139,39856,148274.0
02140,21553,167153.0
02141,14402,132500.0
02142,4474,179667.0
02143,25329,156991.0
02144,25022,161688.0
02145,27692,117483.0
02148,65463,102510.0
02149,48685,77491.0
02150,39875,70525.0
02151,60592,90864.0
02152,19031,137792.0
02155,63873,139636.0
02163,1994,72708.0
02169,60938,106643.0
02170,19928,118250.0
02171,19882,122845.0
02176,29477,167917.0
