zip,stabbr,cty_name,est_per_capita,MEDFAMINC
01301,MA,FRANKLIN,0.02941834451901566,72259.0
01330,MA,FRANKLIN,0.018668326073428748,101250.0
01331,MA,WORCESTER,0.016323582520765618,79117.0
01337,MA,FRANKLIN,0.020242914979757085,94167.0
01339,MA,FRANKLIN,0.020773638968481375,97917.0
01340,MA,FRANKLIN,0.01164021164021164,86000.0
01341,MA,FRANKLIN,0.016049382716049384,116442.0
01342,MA,FRANKLIN,0.02498107494322483,99306.0
01344,MA,FRANKLIN,0.012875536480686695,89766.0
01346,MA,FRANKLIN,0.009779951100244499,93750.0
01349,MA,FRANKLIN,0.011780104712041885,74375.0
01351,MA,FRANKLIN,0.011674571324334184,106983.0
01354,MA,FRANKLIN,0.012020606754436176,100781.0
01355,MA,FRANKLIN,0.017839444995044598,77404.0
01360,MA,FRANKLIN,0.01532567049808429,97132.0
01364,MA,FRANKLIN,0.017663221248200967,75057.0
01366,MA,WORCESTER,0.027187765505522515,115625.0
01367,MA,FRANKLIN,0.011904761904761904,86250.0
01368,MA,WORCESTER,0.006872852233676976,115507.0
01370,MA,FRANKLIN,0.035820091570158905,91823.0
01373,MA,FRANKLIN,0.03048160942897785,117436.0
01375,MA,FRANKLIN,0.014215418261344996,83750.0
01376,MA,FRANKLIN,0.0195152013147083,76707.0
01378,MA,FRANKLIN,0.0036855036855036856,112841.0
01379,MA,FRANKLIN,0.011553273427471117,86607.0
01420,MA,WORCESTER,0.018386500564076716,81620.0
01430,MA,WORCESTER,0.014557844200092922,138049.0
01431,MA,MIDDLESEX,0.017885158456228428,115714.0
01432,MA,MIDDLESEX,0.02710027100271003,138563.0
01434,MA,MIDDLESEX,0.04027226318774816,131643.0
01436,MA,WORCESTER,0.00785056848944234,107431.0
01440,MA,WORCESTER,0.0203005039800292,70287.0
01450,MA,MIDDLESEX,0.01962183374955405,221603.0
01451,MA,WORCESTER,0.02741514360313316,227250.0
01452,MA,WORCESTER,0.01313969571230982,129688.0
01453,MA,WORCESTER,0.027072330654420208,105157.0
01460,MA,MIDDLESEX,0.03084093613645379,173156.0
01462,MA,WORCESTER,0.01920951976200595,118619.0
01463,MA,MIDDLESEX,0.019970857975486415,141797.0
01464,MA,MIDDLESEX,0.019599548787366045,137583.0
01468,MA,WORCESTER,0.014218009478672985,111938.0
01469,MA,MIDDLESEX,0.017159598214285716,127788.0
01473,MA,WORCESTER,0.024209245742092458,122500.0
01474,MA,MIDDLESEX,0.014721345951629864,128750.0
01475,MA,WORCESTER,0.014538310412573674,104899.0
01501,MA,WORCESTER,0.03716518522937422,122181.0
01503,MA,WORCESTER,0.03016505406943654,139167.0
01504,MA,WORCESTER,0.016748232735182163,134628.0
01505,MA,WORCESTER,0.026776519052523172,146083.0
01506,MA,WORCESTER,0.015683996514667443,117632.0
01507,MA,WORCESTER,0.01881841355525566,125967.0
01510,MA,WORCESTER,0.01674594383267088,109255.0
01515,MA,WORCESTER,0.024056603773584907,93750.0
01516,MA,WORCESTER,0.013567784652122002,157000.0
01518,MA,WORCESTER,0.02297341647522153,112554.0
01519,MA,WORCESTER,0.013885250196489389,180238.0
01520,MA,WORCESTER,0.01722606996980998,162265.0
01521,MA,HAMPDEN,0.010058027079303675,103409.0
01522,MA,WORCESTER,0.01453287197231834,136000.0
01523,MA,WORCESTER,0.017153067301965457,138550.0
01524,MA,WORCESTER,0.020569359881520487,103036.0
01527,MA,WORCESTER,0.023245740687265377,123657.0
01529,MA,WORCESTER,0.01102015113350126,125458.0
01531,MA,WORCESTER,0.018292682926829267,116500.0
01532,MA,WORCESTER,0.033872307790630794,190699.0
01534,MA,WORCESTER,0.01340573561853046,136944.0
01535,MA,WORCESTER,0.01726315789473684,91250.0
01536,MA,WORCESTER,0.023482559736336173,136414.0
01537,MA,WORCESTER,0.03669250645994832,142560.0
01540,MA,WORCESTER,0.02066549912434326,132740.0
01541,MA,WORCESTER,0.02087503574492422,170917.0
01542,MA,WORCESTER,0.012788632326820605,138571.0
01543,MA,WORCESTER,0.014941771039332015,166516.0
01545,MA,WORCESTER,0.021970361955904374,155456.0
01550,MA,WORCESTER,0.017601448865244212,72456.0
01560,MA,WORCESTER,0.01605407689057879,135372.0
01562,MA,WORCESTER,0.018402342116269343,98507.0
01564,MA,WORCESTER,0.024959642369303366,137557.0
01566,MA,WORCESTER,0.03723325974981604,141604.0
01568,MA,WORCESTER,0.022866632600919774,159375.0
01569,MA,WORCESTER,0.02115535294536648,130855.0
01570,MA,WORCESTER,0.020598721068417182,91507.0
01571,MA,WORCESTER,0.014135464871687,110417.0
01581,MA,WORCESTER,0.045177902621722846,181148.0
01583,MA,WORCESTER,0.03624933119315142,119044.0
01585,MA,WORCESTER,0.01755835571162983,98194.0
01588,MA,WORCESTER,0.02388230798624379,124679.0
01590,MA,WORCESTER,0.023090202848511005,178373.0
01602,MA,WORCESTER,0.012331361861687734,103165.0
01603,MA,WORCESTER,0.02074668730051262,69380.0
01604,MA,WORCESTER,0.01846576957076908,75639.0
01605,MA,WORCESTER,0.019679633867276888,59413.0
01606,MA,WORCESTER,0.019614772928079165,112023.0
01607,MA,WORCESTER,0.01657010428736964,66875.0
01608,MA,WORCESTER,0.10118110236220472,28485.0
01609,MA,WORCESTER,0.02102683178534572,104778.0
01610,MA,WORCESTER,0.013686975178485555,50709.0
01611,MA,WORCESTER,0.016453382084095063,127986.0
01612,MA,WORCESTER,0.01436265709156194,144042.0
01701,MA,MIDDLESEX,0.03596882297637461,161223.0
01702,MA,MIDDLESEX,0.023625893362126588,86324.0
01719,MA,MIDDLESEX,0.026913218601244966,224567.0
01720,MA,MIDDLESEX,0.030717906503184438,202945.0
01721,MA,MIDDLESEX,0.023129762799184286,159867.0
01730,MA,MIDDLESEX,0.03893670183231538,198875.0
01731,MA,MIDDLESEX,0.008968609865470852,78281.0
01740,MA,WORCESTER,0.021050769502918804,208920.0
01741,MA,MIDDLESEX,0.02034939527740449,250001.0
01742,MA,MIDDLESEX,0.04325268964010704,237404.0
01745,MA,WORCESTER,0.02707581227436823,195417.0
01746,MA,MIDDLESEX,0.027177560059052475,174092.0
01747,MA,WORCESTER,0.027902341803687097,143030.0
01748,MA,MIDDLESEX,0.025442713889481546,239953.0
01749,MA,MIDDLESEX,0.029778914122424425,140846.0
01752,MA,MIDDLESEX,0.03727863545215143,118158.0
01754,MA,MIDDLESEX,0.02539593290225846,150714.0
01756,MA,WORCESTER,0.028214171208720745,146585.0
01757,MA,WORCESTER,0.031304462201177205,109345.0
01760,MA,MIDDLESEX,0.03608645310690853,177151.0
01770,MA,MIDDLESEX,0.02633969118982743,250001.0
01772,MA,WORCESTER,0.03597851423938381,230741.0
01773,MA,MIDDLESEX,0.026840490797546013,250001.0
01775,MA,MIDDLESEX,0.0206721980030938,178278.0
01776,MA,MIDDLESEX,0.028796364789178908,250001.0
01778,MA,MIDDLESEX,0.02523098791755508,245833.0
01801,MA,MIDDLESEX,0.05308352849336456,127328.0
01803,MA,MIDDLESEX,0.05576065220735271,157369.0
01810,MA,ESSEX,0.028894754577108838,206075.0
01821,MA,MIDDLESEX,0.02323847799312893,149241.0
01824,MA,MIDDLESEX,0.03179016984818879,166250.0
01826,MA,MIDDLESEX,0.01826116561948683,120563.0
01827,MA,MIDDLESEX,0.01518309020541828,206707.0
01830,MA,ESSEX,0.019230053933420123,96843.0
01832,MA,ESSEX,0.01373166841716264,92188.0
01833,MA,ESSEX,0.023602336392895457,165640.0
01834,MA,ESSEX,0.018985464253930585,145649.0
01835,MA,ESSEX,0.018936039779306586,109139.0
01840,MA,ESSEX,0.049734843055754624,42784.0
01841,MA,ESSEX,0.009992794569380712,56259.0
01843,MA,ESSEX,0.01932844243792325,71307.0
01844,MA,ESSEX,0.019477074649488443,114359.0
01845,MA,ESSEX,0.029502909182899065,171997.0
01850,MA,MIDDLESEX,0.007437819826252529,66223.0
01851,MA,MIDDLESEX,0.0147882312904124,93115.0
01852,MA,MIDDLESEX,0.02079570951677338,90354.0
01854,MA,MIDDLESEX,0.01025393985272865,79969.0
01860,MA,ESSEX,0.015334226589251154,122143.0
01862,MA,MIDDLESEX,0.037120258853136794,134286.0
01863,MA,MIDDLESEX,0.024242424242424242,140417.0
01864,MA,MIDDLESEX,0.03329254942365896,167776.0
01867,MA,MIDDLESEX,0.02157764414573753,187682.0
01876,MA,MIDDLESEX,0.022779634617256708,140040.0
01879,MA,MIDDLESEX,0.026564392410173596,156429.0
01880,MA,MIDDLESEX,0.03378228372678162,158162.0
01886,MA,MIDDLESEX,0.026504648507584407,190840.0
01887,MA,MIDDLESEX,0.037902634642749344,175094.0
01890,MA,MIDDLESEX,0.02556008593099215,250001.0
01902,MA,ESSEX,0.011284204039976122,75041.0
01904,MA,ESSEX,0.016386094232493275,111592.0
01905,MA,ESSEX,0.017342325650337213,82200.0
01906,MA,ESSEX,0.02800532101099209,110597.0
01907,MA,ESSEX,0.022027880063124672,156786.0
01908,MA,ESSEX,0.014688249400479617,140625.0
01913,MA,ESSEX,0.02639041611204352,119009.0
01915,MA,ESSEX,0.031650284780466706,135398.0
01921,MA,ESSEX,0.018824386689336895,215325.0
01922,MA,ESSEX,0.015155474261823882,209732.0
01923,MA,ESSEX,0.04099661065839764,132926.0
01929,MA,ESSEX,0.04331140350877193,156875.0
01930,MA,ESSEX,0.029902782433791485,113213.0
01938,MA,ESSEX,0.026684069320571387,156303.0
01940,MA,ESSEX,0.03350673194614443,180141.0
01944,MA,ESSEX,0.03193464537690308,250001.0
01945,MA,ESSEX,0.028861728758651155,200000.0
01949,MA,ESSEX,0.041994207695490275,176389.0
01950,MA,ESSEX,0.04232948354761386,169347.0
01951,MA,ESSEX,0.0324585635359116,204792.0
01952,MA,ESSEX,0.032563711609671094,119965.0
01960,MA,ESSEX,0.027840982666444677,114794.0
01965,MA,ESSEX,0.014943960149439602,241003.0
01966,MA,ESSEX,0.02394951957550552,132556.0
01969,MA,ESSEX,0.03595141700404858,148281.0
01970,MA,ESSEX,0.025767975694835153,106047.0
01982,MA,ESSEX,0.017603783499737256,154627.0
01983,MA,ESSEX,0.03368034292712799,186991.0
01984,MA,ESSEX,0.016622744780052705,197865.0
01985,MA,ESSEX,0.017252820172528202,191714.0
02019,MA,NORFOLK,0.02696035242290749,119574.0
02021,MA,NORFOLK,0.038447289342608985,164123.0
02025,MA,NORFOLK,0.034333733493397356,250001.0
02026,MA,NORFOLK,0.03785288270377734,170962.0
02030,MA,NORFOLK,0.019198097179748557,250001.0
02032,MA,NORFOLK,0.024551268826077985,176923.0
02035,MA,NORFOLK,0.03647975752327343,143504.0
02038,MA,NORFOLK,0.0273972602739726,170487.0
02043,MA,PLYMOUTH,0.038851841113366196,250001.0
02045,MA,PLYMOUTH,0.0166073546856465,155979.0
02048,MA,BRISTOL,0.027149511140950863,152962.0
02050,MA,PLYMOUTH,0.021030291337063477,148010.0
02052,MA,NORFOLK,0.02514792899408284,250001.0
02053,MA,NORFOLK,0.026207839562443026,180197.0
02054,MA,NORFOLK,0.023817863397548163,149911.0
02056,MA,NORFOLK,0.019606142101153815,198319.0
02061,MA,PLYMOUTH,0.05566882368584345,197778.0
02062,MA,NORFOLK,0.039657977857894905,124455.0
02066,MA,PLYMOUTH,0.020942408376963352,181024.0
02067,MA,NORFOLK,0.02046229632436529,198799.0
02071,MA,NORFOLK,0.013513513513513514,200267.0
02072,MA,NORFOLK,0.03235688960793088,114076.0
02081,MA,NORFOLK,0.03166583291645823,185587.0
02090,MA,NORFOLK,0.031518979503374824,218092.0
02093,MA,NORFOLK,0.03713135628029245,176125.0
02108,MA,SUFFOLK,0.26078710289236606,244079.0
02109,MA,SUFFOLK,0.3767912334925541,202708.0
02110,MA,SUFFOLK,0.8078733418913137,173167.0
02111,MA,SUFFOLK,0.11060948081264109,84297.0
02113,MA,SUFFOLK,0.026764354066985647,162656.0
02114,MA,SUFFOLK,0.053983228511530396,226979.0
02115,MA,SUFFOLK,0.025181406710252173,68542.0
02116,MA,SUFFOLK,0.0910885757874899,238702.0
02118,MA,SUFFOLK,0.03173429134967597,86139.0
02119,MA,SUFFOLK,0.01718802430930987,59704.0
02120,MA,SUFFOLK,0.011695906432748537,56011.0
02121,MA,SUFFOLK,0.008584842387659289,51667.0
02122,MA,SUFFOLK,0.022546043311070633,85122.0
02124,MA,SUFFOLK,0.010734422437472893,81674.0
02125,MA,SUFFOLK,0.01642478763752625,74359.0
02126,MA,SUFFOLK,0.009762342962310955,83260.0
02127,MA,SUFFOLK,0.019847961299239807,156250.0
02128,MA,SUFFOLK,0.018740216504618913,86889.0
02129,MA,SUFFOLK,0.027127874142799515,204433.0
02130,MA,SUFFOLK,0.017189421152872537,149403.0
